"DateCode","MasterName","OriginalMatch","Status"
"251021_M2","251021_M26_24p_V-log_nclc_영동대교 하행 아침","Missing in Original","Master_Only_Alert"
"250704_N2","250704_N2_60p_709_nclc_경복궁","Missing in Original","Master_Only_Alert"
"251126_D0","251126_D07_24p_V-log_nclc_범지기로","Missing in Original","Master_Only_Alert"
"250821_D3","250821_D3_60p_D-log_nclc_울진 후포리 산길","Missing in Original","Master_Only_Alert"
"220828_D_","220828_D_60p_709_nclc_삼성역사거리 신호대기 좌회전","Missing in Original","Master_Only_Alert"
"251111_D1","251111_D1_60p_D-log_nclc_여의도-원효대교","Missing in Original","Master_Only_Alert"
"251104_D2","251104_D27_24p_V-log_nclc_송도 바이오대로","Missing in Original","Master_Only_Alert"
"251104_N4","251104_N44_24p_V-log_nclc_마곡중앙로 북향","Missing in Original","Master_Only_Alert"
"220526_D_","220526_D_60p_709_nclc_영종대교","Missing in Original","Master_Only_Alert"
"230708_N4","230708_N4_60p_709_nclc_남부순환로","Missing in Original","Master_Only_Alert"
"220926_MH","220926_MH_60p_709_nclc_동부간선도로 수서","Missing in Original","Master_Only_Alert"
"250220_D8","250220_D8_24p_D-log_nclc_동호대교 금호터널 약수역 상행","Missing in Original","Master_Only_Alert"
"251020_N0","251020_N03_24p_V-log_nclc_양화대교 하행","Missing in Original","Master_Only_Alert"
"251111_D2","251111_D2_60p_D-log_nclc_여의도","Missing in Original","Master_Only_Alert"
"251021_M2","251021_M23_24p_V-log_nclc_영동대교 상행 새벽","Missing in Original","Master_Only_Alert"
"220728_화성","Pending_Ingest","220728_화성시 우정읍 조암리 산64(san64)_D_422lt","Source_Only"
"220926_동부","Pending_Ingest","220926_동부간선도로_수서_MH_422lt","Source_Only"
"221225_강남","Pending_Ingest","221225_강남역_도산대로_N_422lt","Source_Only"
"230708_남부","Pending_Ingest","230708_남부순환로_N4_422lt","Source_Only"
"231126_일주","Pending_Ingest","231126_일주서로_N1_422lt","Source_Only"
"240324_도곡","Pending_Ingest","240324_도곡로_D2_422lt","Source_Only"
"240528_세종","Pending_Ingest","240528_세종대로_주행_신호대기(Sejong-Dearo)_D_422lt","Source_Only"
"240609_경수","Pending_Ingest","240609_경수대로_MH_422lt","Source_Only"
"240913_남부","Pending_Ingest","240913_남부순환로_주행_신호대기_주행_N_422lt","Source_Only"
"250220_동작","Pending_Ingest","250220_동작대교_D1_60p_nclc_422lt","Source_Only"
"250220_동작","Pending_Ingest","250220_동작대교_D2_60p_422lt","Source_Only"
"250220_동호","Pending_Ingest","250220_동호대교_금호터널_약수역_D1_60p_422lt","Source_Only"
"250220_동호","Pending_Ingest","250220_동호대교_금호터널_약수역_D2_60p_422lt","Source_Only"
"250220_동호","Pending_Ingest","250220_동호대교_금호터널_약수역_D3_60p_422lt","Source_Only"
"250220_동호","Pending_Ingest","250220_동호대교_금호터널_약수역_D4_60p_422lt","Source_Only"
"250220_올림","Pending_Ingest","250220_올림픽대로_D_60p_422lt","Source_Only"
"250416_ac","Pending_Ingest","250416_actioncam_test","Source_Only"
"250420_양재","Pending_Ingest","250420_양재천로_24p_D2_prorest422lt","Source_Only"
"250612_DS","Pending_Ingest","250612_DS15","Source_Only"
"250612_뜨거","Pending_Ingest","250612_뜨거운안녕_ds15_ori","Source_Only"
"250722_DS","Pending_Ingest","250722_DS15_S1H 관련 테스트","Source_Only"
"250804_DS","Pending_Ingest","250804_DS15_R5C 관련 테스트","Source_Only"
"250821_취사","Pending_Ingest","250821_취사병_ds13_ori","Source_Only"
"250821_취사","Pending_Ingest","250821_취사병_미작업_촬영소스","Source_Only"
"250929_연수","Pending_Ingest","250929_연수구 국도_D1_60p_422lt","Source_Only"
"250929_영종","Pending_Ingest","250929_영종도 국도_D2_60p_422lt","Source_Only"
"250929_영종","Pending_Ingest","250929_영종도 국도_D3_60p_422lt","Source_Only"
"251020_버라","Pending_Ingest","251020_버라이어티 1차_ori","Source_Only"
"251104_버라","Pending_Ingest","251104_버라이어티 2차_ori","Source_Only"
"251106_은밀","Pending_Ingest","251106_은밀한감사_ds11_ori","Source_Only"
"251111_언더","Pending_Ingest","251111_언더커버미스홍_ds11_ori","Source_Only"
"251111_언더","Pending_Ingest","251111_언더커버미스홍_ori","Source_Only"
"260224_액션","Pending_Ingest","260224_액션캠5&6비교","Source_Only"
